Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Ambient_VOC_Rolling,Ambient_VOC_Change,AQMS2_VOC_Rolling,AQMS2_VOC_Change,Average_pH
46,2026-02-15,9.5,12.6,5.18,11.96,6.94,11.77,9.5,7.3,13.55,,11.12,11.01,12.43,11.38,11.37,6.89,9.17,9.8,10.8,,0.0,0.29,2026,2,15,2026-02-15,0.0,0.0,0.24285714285714288,0.11999999999999997,10.12611111111111
47,2026-02-16,9.5,3.23,1.43,11.89,6.69,11.28,9.5,7.3,13.57,,11.24,11.19,12.28,11.38,11.51,6.89,9.1,9.8,10.8,,0.0,0.19,2026,2,16,2026-02-16,0.0,0.0,0.22999999999999998,-0.09999999999999998,9.365555555555556
48,2026-02-17,9.5,0.95,2.33,11.95,6.46,11.2,9.5,7.3,13.54,,11.13,11.26,11.74,11.38,11.38,6.89,9.09,9.8,10.8,,0.0,0.19,2026,2,17,2026-02-17,0.0,0.0,0.21857142857142856,0.0,9.233333333333334
49,2026-02-18,9.5,9.01,8.98,11.98,6.9,11.89,9.5,7.3,13.53,,11.15,11.18,12.45,11.39,13.44,6.89,9.12,9.8,10.8,,0.0,0.22,2026,2,18,2026-02-18,0.0,0.0,0.23,0.03,10.267222222222223
50,2026-02-19,9.5,9.01,8.98,12.08,7.3,12.1,9.5,7.3,13.53,,11.1,11.21,12.36,11.41,11.38,6.89,9.17,9.8,10.8,,0.0,0.25,2026,2,19,2026-02-19,0.0,0.0,0.2285714285714286,0.03,10.190000000000001
51,2026-02-20,9.5,9.01,8.98,12.11,7.51,12.24,9.5,7.3,13.58,,9.68,10.96,12.19,11.4,11.07,6.89,9.22,9.8,10.8,,0.0,0.25,2026,2,20,2026-02-20,0.0,0.0,0.22285714285714286,0.0,10.096666666666668
52,2026-02-21,9.5,8.16,8.9,11.9,7.05,12.37,9.5,7.3,13.59,,7.21,11.28,11.74,11.39,11.02,6.89,9.23,9.8,10.81,,0.0,0.24,2026,2,21,2026-02-21,0.0,0.0,0.23285714285714287,-0.010000000000000009,9.868888888888888
53,2026-02-22,9.5,7.37,8.83,11.87,6.7,11.89,9.5,7.3,13.66,,7.21,11.18,12.41,11.39,10.98,6.89,9.23,9.8,10.81,,0.0,0.24,2026,2,22,2026-02-22,0.0,0.0,0.22571428571428573,0.0,9.806666666666667
54,2026-02-23,9.5,7.36,8.83,11.84,6.65,11.89,9.5,7.3,13.66,,7.21,11.13,12.23,11.4,10.92,6.89,9.23,9.8,10.81,,0.0,0.34,2026,2,23,2026-02-23,0.0,0.0,0.24714285714285714,0.10000000000000003,9.786111111111111
55,2026-02-24,9.5,7.36,8.83,11.78,7.36,11.79,9.5,7.3,13.63,,7.21,11.07,12.21,11.41,10.88,6.89,9.25,9.8,10.81,,0.0,0.21,2026,2,24,2026-02-24,0.0,0.0,0.25000000000000006,-0.13000000000000003,9.81
56,2026-02-25,9.5,7.36,8.83,11.68,7.4,11.76,9.5,7.3,13.59,,7.21,10.91,12.22,11.42,13.49,6.89,9.26,9.8,10.78,,0.0,0.22,2026,2,25,2026-02-25,0.0,0.0,0.25,0.010000000000000009,9.93888888888889
57,2026-02-26,9.5,7.35,8.81,11.59,7.38,11.23,9.5,7.3,13.51,13.97,7.21,11.16,12.3,11.43,13.49,6.89,9.24,9.8,10.82,,0.0,0.23,2026,2,26,2026-02-26,0.0,0.0,0.24714285714285714,0.010000000000000009,10.130526315789474
58,2026-02-27,9.5,7.36,8.81,11.58,7.55,11.54,9.5,13.84,13.47,13.9,7.21,11.21,12.37,11.42,11.22,6.89,9.19,9.8,10.35,,0.0,0.23,2026,2,27,2026-02-27,0.0,0.0,0.24428571428571427,0.0,10.353157894736842
59,2026-02-28,9.5,7.36,8.81,11.52,7.47,11.79,9.5,13.46,13.47,14.0,7.21,10.96,12.6,11.42,11.1,6.89,9.19,9.8,10.82,,0.0,0.23,2026,2,28,2026-02-28,0.0,0.0,0.24285714285714285,0.0,10.361578947368422
60,2026-03-01,9.5,7.32,8.81,11.5,7.12,11.84,9.5,10.5,13.48,14.0,7.21,11.25,12.75,11.42,11.05,6.89,9.18,9.8,10.82,,0.0,0.24,2026,3,1,2026-03-01,0.0,0.0,0.24285714285714285,0.009999999999999981,10.207368421052632
61,2026-03-02,9.5,7.33,8.81,10.87,7.46,11.39,9.5,13.63,13.48,14.0,7.21,11.04,12.68,11.41,11.03,6.88,9.2,9.8,10.82,,0.0,0.3,2026,3,2,2026-03-02,0.0,0.0,0.23714285714285713,0.06,10.317894736842105
62,2026-03-03,9.5,7.33,8.81,10.53,7.26,10.75,9.5,7.06,13.52,13.96,7.21,11.14,11.54,11.41,11.02,6.89,9.2,9.8,10.83,,0.0,0.26,2026,3,3,2026-03-03,0.0,0.0,0.24428571428571427,-0.03999999999999998,9.855789473684212
63,2026-03-04,9.5,7.32,8.81,10.59,7.06,10.13,9.5,13.57,13.56,13.96,7.21,11.35,10.33,11.41,11.01,6.89,9.15,9.8,10.83,,0.0,0.18,2026,3,4,2026-03-04,0.0,0.0,0.23857142857142857,-0.08000000000000002,10.104210526315791
64,2026-03-05,9.5,7.33,8.81,10.66,7.09,10.35,9.5,12.18,13.58,13.96,7.21,11.14,11.84,11.4,11.0,0.91,1.88,9.8,10.81,,0.0,0.22,2026,3,5,2026-03-05,0.0,0.0,0.23714285714285713,0.04000000000000001,9.41842105263158
65,2026-03-06,9.5,7.31,8.81,10.71,7.05,10.59,9.5,8.82,13.56,13.96,7.21,11.22,12.62,11.41,11.01,0.91,0.17,9.8,10.83,,0.0,0.25,2026,3,6,2026-03-06,0.0,0.0,0.24000000000000002,0.03,9.21
66,2026-03-07,9.5,7.3,8.81,10.72,7.06,10.78,9.5,10.98,13.54,13.96,7.21,11.45,12.52,11.41,10.97,6.89,8.89,9.8,10.83,,0.0,0.2,2026,3,7,2026-03-07,0.0,0.0,0.23571428571428574,-0.04999999999999999,10.111578947368423
67,2026-03-08,9.5,7.25,8.81,10.86,7.06,10.94,9.5,13.05,13.52,13.96,7.21,11.37,12.49,11.42,10.96,6.89,9.01,9.8,10.83,,0.0,0.22,2026,3,8,2026-03-08,0.0,0.0,0.23285714285714287,0.01999999999999999,10.233157894736843
68,2026-03-09,9.5,7.24,8.81,10.81,7.07,10.98,9.5,10.71,13.5,12.1,7.21,11.39,12.47,11.42,10.94,6.89,9.01,9.8,10.83,,0.0,0.2,2026,3,9,2026-03-09,0.0,0.0,0.21857142857142858,-0.01999999999999999,10.009473684210526
69,2026-03-10,9.5,7.27,8.81,10.77,7.06,10.92,9.5,11.08,13.47,8.25,7.21,11.11,12.58,11.42,10.93,6.89,8.99,9.8,10.4,,0.0,0.19,2026,3,10,2026-03-10,0.0,0.0,0.20857142857142857,-0.010000000000000009,9.787368421052632
70,2026-03-11,9.5,7.31,8.81,10.87,7.06,10.71,9.51,12.04,13.49,8.25,7.21,11.45,12.57,11.42,10.92,6.89,9.06,9.8,10.83,,0.0,0.24,2026,3,11,2026-03-11,0.0,0.0,0.21714285714285714,0.04999999999999999,9.878947368421054
71,2026-03-12,9.5,7.34,8.81,10.85,7.06,10.62,9.51,12.74,13.57,8.25,7.21,11.23,12.09,11.42,10.9,6.89,9.04,9.8,10.83,,0.0,0.25,2026,3,12,2026-03-12,0.0,0.0,0.22142857142857147,0.010000000000000009,9.876842105263158
72,2026-03-13,9.5,7.33,8.82,10.74,7.06,10.76,9.51,12.59,13.53,8.24,7.21,11.52,11.04,11.42,11.0,6.89,8.91,9.8,10.83,,0.0,0.22,2026,3,13,2026-03-13,0.0,0.0,0.21714285714285717,-0.03,9.826315789473686
73,2026-03-14,9.5,7.32,8.81,10.66,7.06,10.81,9.51,9.67,13.46,8.25,7.21,11.27,10.47,11.43,10.91,6.89,8.94,9.8,10.84,,0.0,0.13,2026,3,14,2026-03-14,0.0,0.0,0.20714285714285713,-0.09,9.621578947368423
74,2026-03-15,9.5,7.32,8.81,10.52,7.07,10.8,9.51,6.43,13.4,8.24,7.2,11.54,10.23,11.44,10.9,6.89,8.84,9.8,10.83,,0.0,0.15,2026,3,15,2026-03-15,0.0,0.0,0.19714285714285712,0.01999999999999999,9.435263157894738
75,2026-03-16,9.5,7.34,8.81,10.65,7.05,10.86,9.51,13.34,13.48,8.24,7.21,11.26,10.94,11.43,10.97,6.88,9.05,9.8,10.84,,0.0,0.14,2026,3,16,2026-03-16,0.0,0.0,0.18857142857142858,-0.009999999999999981,9.850526315789477
76,2026-03-17,9.5,7.35,8.81,10.67,7.09,10.83,9.51,13.25,13.49,8.24,7.21,11.17,12.93,11.44,11.29,6.88,8.99,9.8,10.83,,0.0,0.19,2026,3,17,2026-03-17,0.0,0.0,0.18857142857142858,0.04999999999999999,9.962105263157897
77,2026-03-18,9.5,7.36,8.81,10.68,7.04,10.81,9.51,13.04,13.44,8.24,7.21,11.38,12.75,11.43,11.13,6.88,9.0,9.8,10.84,,0.0,0.12,2026,3,18,2026-03-18,0.0,0.0,0.17142857142857146,-0.07,9.939473684210528
78,2026-03-19,9.5,7.36,8.81,10.73,6.99,10.79,9.51,10.28,13.41,8.24,7.21,11.0,12.73,11.43,10.97,1.73,2.87,9.8,10.81,,0.0,0.19,2026,3,19,2026-03-19,0.0,0.0,0.16285714285714287,0.07,9.166842105263159
79,2026-03-20,9.5,7.35,8.81,10.53,6.97,10.8,9.51,13.16,13.38,8.24,7.21,11.29,12.81,11.45,10.88,1.73,2.87,9.8,10.81,,0.0,0.21,2026,3,20,2026-03-20,0.0,0.0,0.16142857142857145,0.01999999999999999,9.321052631578949
80,2026-03-21,9.5,7.35,8.81,10.06,6.99,10.79,9.51,13.1,12.35,8.24,7.21,11.35,12.86,11.46,10.96,1.73,2.87,9.8,10.82,,0.0,0.25,2026,3,21,2026-03-21,0.0,0.0,0.17857142857142858,0.04000000000000001,9.250526315789475
81,2026-03-22,9.5,7.32,8.81,10.41,6.97,10.78,9.51,12.99,9.69,8.24,7.21,11.49,12.4,11.44,10.86,8.43,8.34,9.8,10.83,,0.0,0.3,2026,3,22,2026-03-22,0.0,0.0,0.19999999999999998,0.04999999999999999,9.737894736842108
82,2026-03-23,9.5,7.37,8.81,10.68,6.92,10.78,9.51,9.7,9.69,8.24,7.21,11.34,11.97,11.44,10.83,8.43,8.34,9.8,10.83,,0.0,0.28,2026,3,23,2026-03-23,0.0,0.0,0.22,-0.019999999999999962,9.54684210526316
83,2026-03-24,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0.0,0.24,2026,3,24,2026-03-24,0.0,0.0,0.22714285714285712,-0.040000000000000036,9.26157894736842
84,2026-03-25,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0.0,0.21,2026,3,25,2026-03-25,0.0,0.0,0.24000000000000002,-0.03,9.26157894736842
85,2026-03-26,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0.0,0.31,2026,3,26,2026-03-26,0.0,0.0,0.2571428571428572,0.1,9.26157894736842
86,2026-03-27,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0.0,0.27,2026,3,27,2026-03-27,0.0,0.0,0.2657142857142857,-0.03999999999999998,9.26157894736842
87,2026-03-28,9.5,7.34,8.82,10.76,6.73,10.96,9.51,13.35,9.69,8.25,7.21,11.37,10.81,11.41,10.7,8.43,8.34,9.8,10.84,,0.0,0.2,2026,3,28,2026-03-28,0.0,0.0,0.25857142857142856,-0.07,9.674736842105265
88,2026-03-29,9.5,7.33,8.82,10.79,6.83,10.95,9.51,13.3,9.69,8.26,7.21,11.37,12.0,11.42,10.72,8.64,8.82,9.8,10.84,,0.0,0.25,2026,3,29,2026-03-29,0.0,0.0,0.25142857142857145,0.04999999999999999,9.778947368421052
89,2026-03-30,9.5,7.33,8.82,10.75,8.52,11.15,9.51,13.28,9.69,8.25,7.21,11.4,12.47,11.43,10.69,8.95,9.76,9.8,10.84,,0.0,0.24,2026,3,30,2026-03-30,0.0,0.0,0.24571428571428572,-0.010000000000000009,9.965789473684211
90,2026-03-31,9.5,7.21,8.82,10.8,8.63,11.3,9.51,13.25,9.69,8.25,7.21,11.48,12.68,11.43,10.67,9.69,9.71,9.8,10.84,,0.0,0.28,2026,3,31,2026-03-31,0.0,0.0,0.25142857142857145,0.040000000000000036,10.024736842105265
91,2026-04-01,9.5,7.01,8.81,10.62,8.41,11.54,9.51,13.2,9.69,7.7,7.21,11.47,12.71,11.43,10.67,10.21,9.73,9.8,10.84,,0.0,0.3,2026,4,1,2026-04-01,0.0,0.0,0.2642857142857143,0.019999999999999962,10.003157894736843
92,2026-04-02,9.5,7.25,8.81,10.64,8.36,12.25,9.51,13.2,9.69,7.73,7.21,11.46,12.88,11.43,10.65,10.22,9.69,9.8,10.85,,0.0,0.32,2026,4,2,2026-04-02,0.0,0.0,0.2657142857142857,0.020000000000000018,10.059473684210527
93,2026-04-03,9.5,7.3,8.81,10.7,8.24,12.34,9.51,13.2,9.69,8.29,7.21,11.16,12.87,11.43,10.64,10.22,9.69,9.8,10.85,,0.0,0.26,2026,4,3,2026-04-03,0.0,0.0,0.2642857142857143,-0.06,10.076315789473684
94,2026-04-04,9.5,7.32,8.81,10.76,8.12,12.31,9.51,13.2,9.69,8.28,7.21,11.19,12.92,11.44,10.64,10.21,9.71,9.8,10.85,,0.0,0.27,2026,4,4,2026-04-04,0.0,0.0,0.2742857142857143,0.010000000000000009,10.07736842105263
