Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Average_pH,Max_pH,Min_pH,pH_Range,pH_Change,Primary_VOC,VOC_Change,VOC_Rolling_7,VOC_STD_7,pH_Rolling_7,VOC_Rate,Stability_Index,Day_Name,Month_Name,pH_Status,VOC_Status
15,2026-01-15,9.5,12.12,5.6,11.18,8.62,11.84,9.5,7.3,13.7,,,,,11.32,12.34,6.9,9.0,9.8,12.57,,0.0,0.51,2026,1,15,2026-01-15,10.086,13.7,5.6,8.1,-0.018666666666668164,0.51,-0.05999999999999994,0.5228571428571429,0.028115408417381988,9.397333333333334,-10.526315789473673,99.81333333333332,Thursday,January,Normal,Low
16,2026-01-16,9.5,12.6,5.6,11.01,8.69,12.82,9.5,7.3,13.8,,,,,11.31,12.36,6.89,9.13,9.8,12.47,,0.0,0.49,2026,1,16,2026-01-16,10.185333333333334,13.8,5.6,8.200000000000001,0.09933333333333394,0.49,-0.020000000000000018,0.5242857142857142,0.02572750982712406,9.584476190476193,-3.9215686274509887,99.00666666666666,Friday,January,Normal,Low
17,2026-01-17,9.5,12.2,5.6,11.17,8.36,11.5,9.5,7.3,13.65,,,,,11.32,12.3,6.9,9.06,9.8,12.59,,0.0,0.54,2026,1,17,2026-01-17,10.05,13.65,5.6,8.05,-0.13533333333333353,0.54,0.050000000000000044,0.5257142857142857,0.026367367999823157,9.751904761904763,10.204081632653072,98.64666666666666,Saturday,January,Normal,Low
18,2026-01-18,9.5,12.13,5.6,11.17,8.35,11.54,9.5,7.3,13.73,,,,,11.32,12.27,6.9,9.07,9.8,12.52,,0.0,0.46,2026,1,18,2026-01-18,10.046666666666669,13.73,5.6,8.13,-0.003333333333332078,0.46,-0.08000000000000002,0.5185714285714286,0.03625307868699869,9.918857142857144,-14.814814814814813,99.96666666666668,Sunday,January,Normal,Low
19,2026-01-19,9.5,12.0,5.52,11.14,7.99,11.62,9.5,7.3,13.7,,,,,11.31,12.29,6.89,9.06,9.8,12.43,,0.0,0.34,2026,1,19,2026-01-19,10.003333333333334,13.7,5.52,8.18,-0.04333333333333478,0.34,-0.12,0.4928571428571429,0.07653197277702219,10.03809523809524,-26.086956521739125,99.56666666666665,Monday,January,Normal,Low
20,2026-01-20,9.5,11.9,5.5,11.23,9.01,11.39,9.5,7.3,13.64,,10.94,11.25,4.86,11.33,12.29,6.89,8.86,9.8,12.54,,0.0,0.53,2026,1,20,2026-01-20,9.873888888888889,13.64,4.86,8.780000000000001,-0.12944444444444514,0.53,0.19,0.4914285714285715,0.0755928946018455,10.049984126984128,55.88235294117647,98.70555555555555,Tuesday,January,Normal,Low
21,2026-01-21,9.5,11.94,5.48,11.2,8.52,11.05,9.5,7.3,13.77,,11.16,10.81,5.93,11.32,12.21,6.89,9.06,9.8,12.49,,0.0,0.44,2026,1,21,2026-01-21,9.885,13.77,5.48,8.29,0.011111111111111072,0.44,-0.09000000000000002,0.47285714285714286,0.06872997543873806,10.018603174603173,-16.981132075471706,99.88888888888889,Wednesday,January,Normal,Low
22,2026-01-22,9.5,12.1,5.46,11.25,8.81,10.84,9.5,7.3,13.69,,10.93,11.15,11.14,11.32,12.18,6.89,8.9,9.8,11.78,,0.0,0.46,2026,1,22,2026-01-22,10.141111111111112,13.69,5.46,8.23,0.25611111111111207,0.46,0.020000000000000018,0.46571428571428575,0.0667974906856895,10.02647619047619,4.545454545454541,97.43888888888888,Thursday,January,Normal,Low
23,2026-01-23,9.5,12.1,5.48,11.27,8.53,11.24,9.5,7.3,13.62,,11.17,11.33,7.97,11.33,12.14,6.89,8.83,9.8,10.81,,0.0,0.36,2026,1,23,2026-01-23,9.933888888888891,13.62,5.48,8.139999999999999,-0.20722222222222086,0.36,-0.10000000000000003,0.4471428571428571,0.0763138881450129,9.990555555555558,-21.739130434782616,97.92777777777779,Friday,January,Normal,Low
24,2026-01-24,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.37,2026,1,24,2026-01-24,9.808888888888891,13.7,5.48,8.219999999999999,-0.125,0.37,0.010000000000000009,0.4228571428571429,0.0684870512613604,9.956111111111113,2.77777777777779,98.75,Saturday,January,Normal,Low
25,2026-01-25,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.54,2026,1,25,2026-01-25,9.808888888888891,13.7,5.48,8.219999999999999,0.0,0.54,0.17000000000000004,0.4342857142857143,0.08121107126025437,9.922142857142859,45.945945945945965,100.0,Sunday,January,Normal,Low
26,2026-01-26,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.41,2026,1,26,2026-01-26,9.808888888888891,13.7,5.48,8.219999999999999,0.0,0.41,-0.13000000000000006,0.44428571428571434,0.07138093649734578,9.894365079365082,-24.07407407407408,100.0,Monday,January,Normal,Low
27,2026-01-27,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.42,2026,1,27,2026-01-27,9.808888888888891,13.7,5.48,8.219999999999999,0.0,0.42,0.010000000000000009,0.42857142857142855,0.06067085281214035,9.885079365079365,2.4390243902439046,100.0,Tuesday,January,Normal,Low
28,2026-01-28,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.42,2026,1,28,2026-01-28,9.808888888888891,13.7,5.48,8.219999999999999,0.0,0.42,0.0,0.4257142857142857,0.060513674172907234,9.87420634920635,0.0,100.0,Wednesday,January,Normal,Low
29,2026-01-29,9.5,12.1,5.48,11.27,7.43,12.76,9.5,7.3,13.6,,11.18,10.97,11.67,11.33,11.99,6.89,9.02,9.8,10.96,,0.0,0.42,2026,1,29,2026-01-29,10.15277777777778,13.6,5.48,8.12,0.34388888888888935,0.42,0.0,0.42,0.058594652770823305,9.875873015873017,0.0,96.5611111111111,Thursday,January,Normal,Low
30,2026-01-30,9.5,13.4,5.46,11.19,7.46,11.87,9.5,7.3,13.61,,11.05,11.07,11.75,11.33,11.96,6.89,9.05,9.8,10.96,,0.0,0.42,2026,1,30,2026-01-30,10.175000000000002,13.61,5.46,8.149999999999999,0.022222222222222143,0.42,0.0,0.42857142857142855,0.05241773600241684,9.910317460317462,0.0,99.77777777777777,Friday,January,Normal,Low
31,2026-01-31,9.5,13.9,5.48,11.23,7.43,12.14,9.5,7.3,13.59,,11.02,11.01,12.15,11.34,13.34,6.89,8.98,9.8,10.96,,0.0,0.42,2026,1,31,2026-01-31,10.30888888888889,13.9,5.48,8.42,0.13388888888888673,0.42,0.0,0.43571428571428567,0.04613644360558632,9.981746031746033,0.0,98.66111111111113,Saturday,January,Normal,Low
32,2026-02-01,9.5,13.6,5.48,11.26,7.44,11.63,9.5,7.3,13.58,,10.95,11.1,12.44,11.35,13.34,6.89,9.05,9.8,10.95,,0.0,0.42,2026,2,1,2026-02-01,10.286666666666669,13.6,5.48,8.12,-0.022222222222220367,0.42,0.0,0.41857142857142854,0.0037796447300943283,10.05,0.0,99.7777777777778,Sunday,February,Normal,Low
33,2026-02-02,9.5,13.48,5.45,11.31,7.48,9.91,9.5,7.3,13.6,,11.16,10.99,12.46,11.35,13.34,6.89,9.05,9.8,10.96,,0.0,0.45,2026,2,2,2026-02-02,10.196111111111113,13.6,5.45,8.149999999999999,-0.0905555555555555,0.45,0.030000000000000027,0.42428571428571427,0.011338934190277514,10.105317460317464,7.14285714285714,99.09444444444445,Monday,February,Normal,Low
34,2026-02-03,9.5,13.34,5.46,11.35,7.9,11.58,9.5,7.3,13.62,,10.97,11.17,12.43,11.35,13.34,6.89,9.14,9.8,10.97,,0.0,0.23,2026,2,3,2026-02-03,10.311666666666666,13.62,5.46,8.16,0.1155555555555523,0.23,-0.22,0.39714285714285713,0.07454624643228439,10.177142857142858,-48.88888888888889,98.84444444444448,Tuesday,February,Normal,Low
35,2026-02-04,9.5,12.75,5.46,11.52,8.15,11.16,9.5,7.3,13.65,,11.2,10.94,12.38,11.35,13.34,6.89,9.16,9.8,10.97,,0.0,0.25,2026,2,4,2026-02-04,10.27888888888889,13.65,5.46,8.190000000000001,-0.032777777777775796,0.25,0.01999999999999999,0.37285714285714283,0.09159954252329104,10.244285714285715,8.695652173913038,99.67222222222225,Wednesday,February,Normal,Low
36,2026-02-05,9.5,12.77,5.46,11.79,8.36,11.12,9.5,7.3,13.69,,11.03,11.14,12.29,11.35,13.33,6.89,9.22,9.8,10.97,,0.0,0.2,2026,2,5,2026-02-05,10.306111111111111,13.69,5.46,8.23,0.02722222222222115,0.2,-0.04999999999999999,0.34142857142857147,0.10884676865951998,10.266190476190477,-19.999999999999996,99.72777777777779,Thursday,February,Normal,Low
37,2026-02-06,9.5,12.86,5.46,12.09,8.1,11.26,9.5,7.3,13.7,,11.1,11.1,11.96,11.35,12.45,6.89,9.26,9.8,10.94,,0.0,0.24,2026,2,6,2026-02-06,10.256666666666668,13.7,5.46,8.239999999999998,-0.04944444444444329,0.24,0.03999999999999998,0.3157142857142857,0.1084523156133827,10.277857142857144,19.999999999999996,99.50555555555556,Friday,February,Normal,Low
38,2026-02-07,9.5,12.98,5.24,11.86,7.7,12.28,9.5,7.3,13.67,,11.15,11.37,9.17,11.35,12.17,6.89,9.27,9.8,10.98,,0.0,0.2,2026,2,7,2026-02-07,10.121111111111112,13.67,5.24,8.43,-0.13555555555555543,0.2,-0.03999999999999998,0.2842857142857143,0.10501700542565207,10.251031746031746,-16.666666666666664,98.64444444444445,Saturday,February,Normal,Low
39,2026-02-08,9.5,12.94,5.45,11.89,7.78,12.17,9.5,7.3,13.66,,11.17,11.1,12.38,11.35,11.99,6.89,9.27,9.8,10.98,,0.0,0.27,2026,2,8,2026-02-08,10.284444444444444,13.66,5.45,8.21,0.16333333333333222,0.27,0.07,0.26285714285714284,0.08635475005547097,10.250714285714285,35.00000000000001,98.36666666666667,Sunday,February,Normal,Low
40,2026-02-09,9.5,12.92,5.45,12.01,7.87,11.53,9.5,7.3,13.64,,11.14,10.99,12.2,11.36,11.86,6.89,9.27,9.8,10.98,,0.0,0.28,2026,2,9,2026-02-09,10.23388888888889,13.64,5.45,8.190000000000001,-0.05055555555555458,0.28,0.010000000000000009,0.23857142857142857,0.03132015933791496,10.256111111111112,3.703703703703698,99.49444444444445,Monday,February,Normal,Low
41,2026-02-10,9.5,13.17,5.43,12.02,7.64,12.05,9.5,7.3,13.59,,11.04,10.86,12.28,11.36,11.77,6.89,9.24,9.8,10.98,,0.0,0.27,2026,2,10,2026-02-10,10.245555555555555,13.59,5.43,8.16,0.011666666666664938,0.27,-0.010000000000000009,0.24428571428571427,0.03309438162646489,10.246666666666668,-3.57142857142857,99.88333333333335,Tuesday,February,Normal,Low
42,2026-02-11,9.5,13.2,5.23,12.06,7.3,12.13,9.5,7.3,13.57,,11.09,11.15,12.53,11.37,11.68,6.89,9.2,9.8,10.98,,0.0,0.14,2026,2,11,2026-02-11,10.248888888888889,13.57,5.23,8.34,0.0033333333333338544,0.14,-0.13,0.2285714285714286,0.051130086194780794,10.242380952380953,-48.14814814814815,99.96666666666667,Wednesday,February,Normal,Low
43,2026-02-12,9.5,12.65,5.22,12.13,6.64,12.16,9.5,7.3,13.56,,10.94,11.0,12.27,11.4,11.6,6.89,9.22,9.8,10.95,,0.0,0.26,2026,2,12,2026-02-12,10.151666666666666,13.56,5.22,8.34,-0.09722222222222321,0.26,0.12,0.23714285714285716,0.05056820005836532,10.22031746031746,85.7142857142857,99.02777777777777,Thursday,February,Normal,Low
44,2026-02-13,9.5,12.39,5.19,12.17,6.08,12.39,9.5,7.3,13.56,,11.29,11.13,11.58,11.38,11.52,6.89,9.26,9.8,10.99,,0.0,0.29,2026,2,13,2026-02-13,10.106666666666667,13.56,5.19,8.370000000000001,-0.04499999999999815,0.29,0.02999999999999997,0.2442857142857143,0.054423384329759975,10.19888888888889,11.538461538461519,99.55000000000001,Friday,February,Normal,Low
45,2026-02-14,9.5,12.6,5.18,11.9,6.93,12.0,9.5,7.3,13.54,,11.11,10.99,11.84,11.38,11.44,6.89,9.19,9.8,10.89,,0.0,0.17,2026,2,14,2026-02-14,10.110000000000001,13.54,5.18,8.36,0.0033333333333338544,0.17,-0.11999999999999997,0.24000000000000002,0.0594418483337567,10.197301587301586,-41.37931034482758,99.96666666666667,Saturday,February,Normal,Low
46,2026-02-15,9.5,12.6,5.18,11.96,6.94,11.77,9.5,7.3,13.55,,11.12,11.01,12.43,11.38,11.37,6.89,9.17,9.8,10.8,,0.0,0.29,2026,2,15,2026-02-15,10.12611111111111,13.55,5.18,8.370000000000001,0.0161111111111083,0.29,0.11999999999999997,0.24285714285714288,0.06156684327197709,10.17468253968254,70.58823529411762,99.83888888888892,Sunday,February,Normal,Low
47,2026-02-16,9.5,3.23,1.43,11.89,6.69,11.28,9.5,7.3,13.57,,11.24,11.19,12.28,11.38,11.51,6.89,9.1,9.8,10.8,,0.0,0.19,2026,2,16,2026-02-16,9.365555555555556,13.57,1.43,12.14,-0.7605555555555537,0.19,-0.09999999999999998,0.22999999999999998,0.061913918736689014,10.05063492063492,-34.482758620689644,92.39444444444446,Monday,February,Low,Low
48,2026-02-17,9.5,0.95,2.33,11.95,6.46,11.2,9.5,7.3,13.54,,11.13,11.26,11.74,11.38,11.38,6.89,9.09,9.8,10.8,,0.0,0.19,2026,2,17,2026-02-17,9.233333333333334,13.54,0.95,12.59,-0.13222222222222157,0.19,0.0,0.21857142857142856,0.060670852812140165,9.906031746031745,0.0,98.67777777777778,Tuesday,February,Low,Low
49,2026-02-18,9.5,9.01,8.98,11.98,6.9,11.89,9.5,7.3,13.53,,11.15,11.18,12.45,11.39,13.44,6.89,9.12,9.8,10.8,,0.0,0.22,2026,2,18,2026-02-18,10.267222222222223,13.53,6.89,6.64,1.0338888888888889,0.22,0.03,0.23,0.049999999999999975,9.908650793650795,15.789473684210531,89.66111111111111,Wednesday,February,Normal,Low
50,2026-02-19,9.5,9.01,8.98,12.08,7.3,12.1,9.5,7.3,13.53,,11.1,11.21,12.36,11.41,11.38,6.89,9.17,9.8,10.8,,0.0,0.25,2026,2,19,2026-02-19,10.190000000000001,13.53,6.89,6.64,-0.07722222222222186,0.25,0.03,0.2285714285714286,0.04913538149119951,9.914126984126984,13.636363636363647,99.22777777777779,Thursday,February,Normal,Low
51,2026-02-20,9.5,9.01,8.98,12.11,7.51,12.24,9.5,7.3,13.58,,9.68,10.96,12.19,11.4,11.07,6.89,9.22,9.8,10.8,,0.0,0.25,2026,2,20,2026-02-20,10.096666666666668,13.58,6.89,6.69,-0.09333333333333371,0.25,0.0,0.22285714285714286,0.042706082983686534,9.912698412698415,0.0,99.06666666666666,Friday,February,Normal,Low
52,2026-02-21,9.5,8.16,8.9,11.9,7.05,12.37,9.5,7.3,13.59,,7.21,11.28,11.74,11.39,11.02,6.89,9.23,9.8,10.81,,0.0,0.24,2026,2,21,2026-02-21,9.868888888888888,13.59,6.89,6.7,-0.22777777777777963,0.24,-0.010000000000000009,0.23285714285714287,0.035923198500080536,9.878253968253969,-4.0000000000000036,97.7222222222222,Saturday,February,Normal,Low
53,2026-02-22,9.5,7.37,8.83,11.87,6.7,11.89,9.5,7.3,13.66,,7.21,11.18,12.41,11.39,10.98,6.89,9.23,9.8,10.81,,0.0,0.24,2026,2,22,2026-02-22,9.806666666666667,13.66,6.7,6.96,-0.06222222222222129,0.24,0.0,0.22571428571428573,0.02636736799982305,9.832619047619048,0.0,99.3777777777778,Sunday,February,Normal,Low
54,2026-02-23,9.5,7.36,8.83,11.84,6.65,11.89,9.5,7.3,13.66,,7.21,11.13,12.23,11.4,10.92,6.89,9.23,9.8,10.81,,0.0,0.34,2026,2,23,2026-02-23,9.786111111111111,13.66,6.65,7.01,-0.020555555555555216,0.34,0.10000000000000003,0.24714285714285714,0.046084807950229366,9.892698412698413,41.66666666666667,99.79444444444445,Monday,February,Normal,Low
55,2026-02-24,9.5,7.36,8.83,11.78,7.36,11.79,9.5,7.3,13.63,,7.21,11.07,12.21,11.41,10.88,6.89,9.25,9.8,10.81,,0.0,0.21,2026,2,24,2026-02-24,9.81,13.63,6.89,6.740000000000001,0.02388888888888907,0.21,-0.13000000000000003,0.25000000000000006,0.042426406871192854,9.975079365079365,-38.235294117647065,99.7611111111111,Tuesday,February,Normal,Low
56,2026-02-25,9.5,7.36,8.83,11.68,7.4,11.76,9.5,7.3,13.59,,7.21,10.91,12.22,11.42,13.49,6.89,9.26,9.8,10.78,,0.0,0.22,2026,2,25,2026-02-25,9.93888888888889,13.59,6.89,6.7,0.1288888888888895,0.22,0.010000000000000009,0.25,0.042426406871192854,9.928174603174606,4.761904761904767,98.71111111111111,Wednesday,February,Normal,Low
57,2026-02-26,9.5,7.35,8.81,11.59,7.38,11.23,9.5,7.3,13.51,13.97,7.21,11.16,12.3,11.43,13.49,6.89,9.24,9.8,10.82,,0.0,0.23,2026,2,26,2026-02-26,10.130526315789474,13.97,6.89,7.080000000000001,0.19163742690058427,0.23,0.010000000000000009,0.24714285714285714,0.04309458036856673,9.9196783625731,4.545454545454541,98.08362573099416,Thursday,February,Normal,Low
58,2026-02-27,9.5,7.36,8.81,11.58,7.55,11.54,9.5,13.84,13.47,13.9,7.21,11.21,12.37,11.42,11.22,6.89,9.19,9.8,10.35,,0.0,0.23,2026,2,27,2026-02-27,10.353157894736842,13.9,6.89,7.010000000000001,0.22263157894736807,0.23,0.0,0.24428571428571427,0.043534332373864365,9.956319966583125,0.0,97.77368421052631,Friday,February,Normal,Low
59,2026-02-28,9.5,7.36,8.81,11.52,7.47,11.79,9.5,13.46,13.47,14.0,7.21,10.96,12.6,11.42,11.1,6.89,9.19,9.8,10.82,,0.0,0.23,2026,2,28,2026-02-28,10.361578947368422,14.0,6.89,7.11,0.008421052631579329,0.23,0.0,0.24285714285714285,0.043861253103502675,10.026704260651629,0.0,99.91578947368421,Saturday,February,Normal,Low
60,2026-03-01,9.5,7.32,8.81,11.5,7.12,11.84,9.5,10.5,13.48,14.0,7.21,11.25,12.75,11.42,11.05,6.89,9.18,9.8,10.82,,0.0,0.24,2026,3,1,2026-03-01,10.207368421052632,14.0,6.89,7.11,-0.15421052631579002,0.24,0.009999999999999981,0.24285714285714285,0.043861253103502675,10.083947368421052,4.347826086956519,98.45789473684209,Sunday,March,Normal,Low
61,2026-03-02,9.5,7.33,8.81,10.87,7.46,11.39,9.5,13.63,13.48,14.0,7.21,11.04,12.68,11.41,11.03,6.88,9.2,9.8,10.82,,0.0,0.3,2026,3,2,2026-03-02,10.317894736842105,14.0,6.88,7.12,0.11052631578947292,0.3,0.06,0.23714285714285713,0.029277002188455956,10.159916457811194,25.0,98.89473684210527,Monday,March,Normal,Low
62,2026-03-03,9.5,7.33,8.81,10.53,7.26,10.75,9.5,7.06,13.52,13.96,7.21,11.14,11.54,11.41,11.02,6.89,9.2,9.8,10.83,,0.0,0.26,2026,3,3,2026-03-03,9.855789473684212,13.96,6.89,7.070000000000001,-0.462105263157893,0.26,-0.03999999999999998,0.24428571428571427,0.027602622373694145,10.166457811194652,-13.33333333333333,95.37894736842107,Tuesday,March,Normal,Low
63,2026-03-04,9.5,7.32,8.81,10.59,7.06,10.13,9.5,13.57,13.56,13.96,7.21,11.35,10.33,11.41,11.01,6.89,9.15,9.8,10.83,,0.0,0.18,2026,3,4,2026-03-04,10.104210526315791,13.96,6.89,7.070000000000001,0.24842105263157954,0.18,-0.08000000000000002,0.23857142857142857,0.0362530786869986,10.190075187969926,-30.76923076923077,97.51578947368421,Wednesday,March,Normal,Low
64,2026-03-05,9.5,7.33,8.81,10.66,7.09,10.35,9.5,12.18,13.58,13.96,7.21,11.14,11.84,11.4,11.0,0.91,1.88,9.8,10.81,,0.0,0.22,2026,3,5,2026-03-05,9.41842105263158,13.96,0.91,13.05,-0.6857894736842116,0.22,0.04000000000000001,0.23714285714285713,0.03683941988065033,10.088345864661656,22.222222222222232,93.14210526315789,Thursday,March,Low,Low
