Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day
52,21-02-2026,9.5,8.16,8.9,11.9,7.05,12.37,9.5,7.3,13.59,,7.21,11.28,11.74,11.39,11.02,6.89,9.23,9.8,10.81,,0,0.24,2026,2,21
53,22-02-2026,9.5,7.37,8.83,11.87,6.7,11.89,9.5,7.3,13.66,,7.21,11.18,12.41,11.39,10.98,6.89,9.23,9.8,10.81,,0,0.24,2026,2,22
54,23-02-2026,9.5,7.36,8.83,11.84,6.65,11.89,9.5,7.3,13.66,,7.21,11.13,12.23,11.4,10.92,6.89,9.23,9.8,10.81,,0,0.34,2026,2,23
55,24-02-2026,9.5,7.36,8.83,11.78,7.36,11.79,9.5,7.3,13.63,,7.21,11.07,12.21,11.41,10.88,6.89,9.25,9.8,10.81,,0,0.21,2026,2,24
56,25-02-2026,9.5,7.36,8.83,11.68,7.4,11.76,9.5,7.3,13.59,,7.21,10.91,12.22,11.42,13.49,6.89,9.26,9.8,10.78,,0,0.22,2026,2,25
57,26-02-2026,9.5,7.35,8.81,11.59,7.38,11.23,9.5,7.3,13.51,13.97,7.21,11.16,12.3,11.43,13.49,6.89,9.24,9.8,10.82,,0,0.23,2026,2,26
58,27-02-2026,9.5,7.36,8.81,11.58,7.55,11.54,9.5,13.84,13.47,13.9,7.21,11.21,12.37,11.42,11.22,6.89,9.19,9.8,10.35,,0,0.23,2026,2,27
59,28-02-2026,9.5,7.36,8.81,11.52,7.47,11.79,9.5,13.46,13.47,14,7.21,10.96,12.6,11.42,11.1,6.89,9.19,9.8,10.82,,0,0.23,2026,2,28
60,01-03-2026,9.5,7.32,8.81,11.5,7.12,11.84,9.5,10.5,13.48,14,7.21,11.25,12.75,11.42,11.05,6.89,9.18,9.8,10.82,,0,0.24,2026,3,1
61,02-03-2026,9.5,7.33,8.81,10.87,7.46,11.39,9.5,13.63,13.48,14,7.21,11.04,12.68,11.41,11.03,6.88,9.2,9.8,10.82,,0,0.3,2026,3,2
62,03-03-2026,9.5,7.33,8.81,10.53,7.26,10.75,9.5,7.06,13.52,13.96,7.21,11.14,11.54,11.41,11.02,6.89,9.2,9.8,10.83,,0,0.26,2026,3,3
63,04-03-2026,9.5,7.32,8.81,10.59,7.06,10.13,9.5,13.57,13.56,13.96,7.21,11.35,10.33,11.41,11.01,6.89,9.15,9.8,10.83,,0,0.18,2026,3,4
64,05-03-2026,9.5,7.33,8.81,10.66,7.09,10.35,9.5,12.18,13.58,13.96,7.21,11.14,11.84,11.4,11,0.91,1.88,9.8,10.81,,0,0.22,2026,3,5
65,06-03-2026,9.5,7.31,8.81,10.71,7.05,10.59,9.5,8.82,13.56,13.96,7.21,11.22,12.62,11.41,11.01,0.91,0.17,9.8,10.83,,0,0.25,2026,3,6
66,07-03-2026,9.5,7.3,8.81,10.72,7.06,10.78,9.5,10.98,13.54,13.96,7.21,11.45,12.52,11.41,10.97,6.89,8.89,9.8,10.83,,0,0.2,2026,3,7
67,08-03-2026,9.5,7.25,8.81,10.86,7.06,10.94,9.5,13.05,13.52,13.96,7.21,11.37,12.49,11.42,10.96,6.89,9.01,9.8,10.83,,0,0.22,2026,3,8
68,09-03-2026,9.5,7.24,8.81,10.81,7.07,10.98,9.5,10.71,13.5,12.1,7.21,11.39,12.47,11.42,10.94,6.89,9.01,9.8,10.83,,0,0.2,2026,3,9
69,10-03-2026,9.5,7.27,8.81,10.77,7.06,10.92,9.5,11.08,13.47,8.25,7.21,11.11,12.58,11.42,10.93,6.89,8.99,9.8,10.4,,0,0.19,2026,3,10
70,11-03-2026,9.5,7.31,8.81,10.87,7.06,10.71,9.51,12.04,13.49,8.25,7.21,11.45,12.57,11.42,10.92,6.89,9.06,9.8,10.83,,0,0.24,2026,3,11
71,12-03-2026,9.5,7.34,8.81,10.85,7.06,10.62,9.51,12.74,13.57,8.25,7.21,11.23,12.09,11.42,10.9,6.89,9.04,9.8,10.83,,0,0.25,2026,3,12
72,13-03-2026,9.5,7.33,8.82,10.74,7.06,10.76,9.51,12.59,13.53,8.24,7.21,11.52,11.04,11.42,11,6.89,8.91,9.8,10.83,,0,0.22,2026,3,13
73,14-03-2026,9.5,7.32,8.81,10.66,7.06,10.81,9.51,9.67,13.46,8.25,7.21,11.27,10.47,11.43,10.91,6.89,8.94,9.8,10.84,,0,0.13,2026,3,14
74,15-03-2026,9.5,7.32,8.81,10.52,7.07,10.8,9.51,6.43,13.4,8.24,7.2,11.54,10.23,11.44,10.9,6.89,8.84,9.8,10.83,,0,0.15,2026,3,15
75,16-03-2026,9.5,7.34,8.81,10.65,7.05,10.86,9.51,13.34,13.48,8.24,7.21,11.26,10.94,11.43,10.97,6.88,9.05,9.8,10.84,,0,0.14,2026,3,16
76,17-03-2026,9.5,7.35,8.81,10.67,7.09,10.83,9.51,13.25,13.49,8.24,7.21,11.17,12.93,11.44,11.29,6.88,8.99,9.8,10.83,,0,0.19,2026,3,17
77,18-03-2026,9.5,7.36,8.81,10.68,7.04,10.81,9.51,13.04,13.44,8.24,7.21,11.38,12.75,11.43,11.13,6.88,9,9.8,10.84,,0,0.12,2026,3,18
78,19-03-2026,9.5,7.36,8.81,10.73,6.99,10.79,9.51,10.28,13.41,8.24,7.21,11,12.73,11.43,10.97,1.73,2.87,9.8,10.81,,0,0.19,2026,3,19
79,20-03-2026,9.5,7.35,8.81,10.53,6.97,10.8,9.51,13.16,13.38,8.24,7.21,11.29,12.81,11.45,10.88,1.73,2.87,9.8,10.81,,0,0.21,2026,3,20
80,21-03-2026,9.5,7.35,8.81,10.06,6.99,10.79,9.51,13.1,12.35,8.24,7.21,11.35,12.86,11.46,10.96,1.73,2.87,9.8,10.82,,0,0.25,2026,3,21
81,22-03-2026,9.5,7.32,8.81,10.41,6.97,10.78,9.51,12.99,9.69,8.24,7.21,11.49,12.4,11.44,10.86,8.43,8.34,9.8,10.83,,0,0.3,2026,3,22
82,23-03-2026,9.5,7.37,8.81,10.68,6.92,10.78,9.51,9.7,9.69,8.24,7.21,11.34,11.97,11.44,10.83,8.43,8.34,9.8,10.83,,0,0.28,2026,3,23
83,24-03-2026,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0,0.24,2026,3,24
84,25-03-2026,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0,0.21,2026,3,25
85,26-03-2026,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0,0.31,2026,3,26
86,27-03-2026,9.5,7.36,8.81,10.59,6.87,10.77,9.51,3.37,9.69,8.25,7.21,11.23,12.69,11.44,10.79,8.63,8.63,9.8,10.83,,0,0.27,2026,3,27
87,28-03-2026,9.5,7.34,8.82,10.76,6.73,10.96,9.51,13.35,9.69,8.25,7.21,11.37,10.81,11.41,10.7,8.43,8.34,9.8,10.84,,0,0.2,2026,3,28
88,29-03-2026,9.5,7.33,8.82,10.79,6.83,10.95,9.51,13.3,9.69,8.26,7.21,11.37,12,11.42,10.72,8.64,8.82,9.8,10.84,,0,0.25,2026,3,29
89,30-03-2026,9.5,7.33,8.82,10.75,8.52,11.15,9.51,13.28,9.69,8.25,7.21,11.4,12.47,11.43,10.69,8.95,9.76,9.8,10.84,,0,0.24,2026,3,30
90,31-03-2026,9.5,7.21,8.82,10.8,8.63,11.3,9.51,13.25,9.69,8.25,7.21,11.48,12.68,11.43,10.67,9.69,9.71,9.8,10.84,,0,0.28,2026,3,31
91,01-04-2026,9.5,7.01,8.81,10.62,8.41,11.54,9.51,13.2,9.69,7.7,7.21,11.47,12.71,11.43,10.67,10.21,9.73,9.8,10.84,,0,0.3,2026,4,1
92,02-04-2026,9.5,7.25,8.81,10.64,8.36,12.25,9.51,13.2,9.69,7.73,7.21,11.46,12.88,11.43,10.65,10.22,9.69,9.8,10.85,,0,0.32,2026,4,2
93,03-04-2026,9.5,7.3,8.81,10.7,8.24,12.34,9.51,13.2,9.69,8.29,7.21,11.16,12.87,11.43,10.64,10.22,9.69,9.8,10.85,,0,0.26,2026,4,3
94,04-04-2026,9.5,7.32,8.81,10.76,8.12,12.31,9.51,13.2,9.69,8.28,7.21,11.19,12.92,11.44,10.64,10.21,9.71,9.8,10.85,,0,0.27,2026,4,4
95,05-04-2026,9.5,7.31,8.81,10.75,8.25,12.8,9.51,13.2,9.69,8.27,7.21,11.23,12.94,11.44,10.63,9.3,9.72,9.8,10.85,,0,0.25,2026,4,5
96,06-04-2026,9.5,7.31,8.81,10.78,8.21,11.78,9.51,13.2,9.69,8.25,7.21,11.16,12.94,11.45,10.62,9.23,9.72,9.8,10.84,,0,0.34,2026,4,6
97,07-04-2026,9.5,7.31,8.81,10.56,8.14,11.15,9.51,13.2,9.73,8.24,7.21,11.1,12.95,11.46,10.68,10,9.61,9.8,10.84,,0,0.34,2026,4,7
98,08-04-2026,9.5,7.32,8.81,10.55,8.1,10.01,9.51,13.2,9.69,8.25,7.21,11.06,12.96,11.48,10.6,10.64,9.58,9.8,10.85,,0,0.27,2026,4,8
99,09-04-2026,9.5,7.33,8.82,10.7,8.09,10.61,9.51,13.2,9.69,8.24,7.21,11,12.92,11.46,10.65,10.47,9.73,9.8,10.84,,0,0.28,2026,4,9
100,10-04-2026,9.5,7.33,8.81,10.5,8.07,10.48,9.51,13.17,9.69,8.22,7.21,10.97,12.89,11.45,10.59,10.16,9.73,9.8,10.59,,0,0.33,2026,4,10
101,11-04-2026,9.5,7.34,8.81,10.43,8.04,10.66,9.51,13.1,9.69,8.23,7.21,10.91,12.88,11.45,10.87,10.15,9.72,9.8,10.84,,0,0.34,2026,4,11
102,12-04-2026,9.5,7.35,8.81,10.66,8.04,10.83,9.51,13.1,9.69,8.23,7.21,10.91,12.88,11.46,10.8,10.14,9.71,9.8,10.85,,0,0.2,2026,4,12
103,13-04-2026,9.5,7.35,8.82,10.83,7.96,11.11,9.51,13.1,9.69,8.22,7.21,10.74,12.87,11.45,10.56,10.12,9.73,9.8,10.84,,0,0.23,2026,4,13
104,14-04-2026,9.5,7.35,8.82,10.72,7.97,11.01,9.51,13.2,9.69,8.14,7.21,10.51,12.88,11.46,10.55,10.11,9.73,9.8,10.85,,0,0.26,2026,4,14
105,15-04-2026,9.5,7.35,8.82,10.74,7.96,10.88,9.51,13.2,9.69,8.22,7.21,10.42,12.89,11.46,10.54,10.13,9.72,9.8,10.85,,0,0.26,2026,4,15
106,16-04-2026,9.5,7.35,8.82,10.57,8.05,10.96,9.51,13.2,9.69,8.22,7.21,10.38,12.87,11.47,10.61,10.12,9.72,9.8,10.85,,0,0.22,2026,4,16
107,17-04-2026,9.5,7.35,8.82,10.21,8.09,10.93,9.51,13.2,9.69,8.22,7.21,10.36,12.83,11.47,10.92,10.13,9.71,9.8,10.85,,0,0.25,2026,4,17
108,18-04-2026,9.5,7.35,8.82,10.77,8.09,10.82,9.51,13.14,9.69,8.21,7.21,10.35,12.79,11.47,10.87,10.16,9.71,9.8,10.85,,0,0.22,2026,4,18
109,19-04-2026,9.5,7.35,8.82,10.71,8.11,11.02,9.51,13.18,9.69,8.21,7.21,10.36,12.75,11.48,10.86,10.16,9.7,9.8,10.85,,0,0.28,2026,4,19
110,20-04-2026,9.5,7.35,8.81,10.77,8.08,11.23,9.51,13.2,9.69,8.21,7.21,10.35,12.7,11.49,10.84,10.16,9.69,9.8,10.85,,0,0.27,2026,4,20
111,21-04-2026,9.5,7.35,8.82,10.63,8.08,11.12,9.51,13.2,9.69,8.19,7.21,10.35,12.65,11.49,10.82,9.97,9.69,9.8,10.85,,0,0.29,2026,4,21
112,22-04-2026,9.5,7.36,8.82,10.57,7.93,11.02,9.51,13.2,9.69,8.21,7.21,10.33,12.56,11.49,10.81,10.06,9.68,9.8,10.83,,0,0.34,2026,4,22
113,23-04-2026,9.5,7.36,8.81,10.5,7.81,10.99,9.51,13.2,9.69,8.19,7.21,10.31,12.46,11.5,10.8,10.03,9.69,9.8,10.85,,0,0.38,2026,4,23
114,24-04-2026,9.5,7.36,8.81,10.56,7.05,10.94,9.51,13.25,9.69,8.21,7.21,10.27,12.28,11.5,10.79,9.95,9.68,9.8,10.74,,0,0.41,2026,4,24
115,25-04-2026,9.5,7.36,8.81,10.58,7.83,10.91,9.51,13.3,9.69,8.21,7.21,10.23,12.04,11.51,10.8,9.89,9.66,9.8,10.84,,0,0.6,2026,4,25
116,26-04-2026,9.5,7.38,8.81,10.37,7.83,10.9,9.51,13.2,9.69,8.21,7.2,10.22,11.71,11.52,10.8,9.89,9.63,9.8,10.87,,0,0,2026,4,26
117,27-04-2026,9.5,7.38,8.82,10.65,7.93,11.26,9.51,13.2,9.69,8.21,7.22,10.27,11.47,11.52,10.78,10.11,9.7,9.8,10.86,,0,0.51,2026,4,27
118,28-04-2026,9.5,7.39,8.81,10.7,8.05,11.4,9.51,12.89,9.69,8.21,7.21,10.2,11.23,11.51,10.77,10.13,9.67,9.8,10.85,,0,0.34,2026,4,28
119,29-04-2026,9.5,7.39,8.81,10.75,8.26,11.36,9.51,12.78,9.69,8.21,7.21,10.18,11.17,11.51,10.79,10.03,9.65,9.8,10.85,,0,0.41,2026,4,29
120,30-04-2026,9.5,7.4,8.81,10.74,8.35,11.37,9.51,12.16,9.69,8.21,7.21,10.17,11.11,11.51,10.77,9.99,9.68,9.8,10.85,,0,0.3,2026,4,30
121,01-05-2026,9.5,7.4,8.81,10.84,8.28,11.29,9.51,11.43,9.69,8.21,7.21,10.16,11.06,11.52,10.77,10.07,9.68,9.8,10.85,,0,0.35,2026,5,1
122,02-05-2026,9.5,7.4,8.81,10.68,8.1,11.11,9.51,12.45,9.69,8.21,7.21,10.17,11.05,11.54,10.79,10.08,9.65,9.8,10.85,,0,0.36,2026,5,2
123,03-05-2026,9.5,7.4,8.81,10.73,8.3,11.09,9.51,12.49,9.69,8.22,7.21,10.16,11.01,11.53,10.8,9.87,9.66,9.8,10.84,,0,0.27,2026,5,3
124,04-05-2026,9.5,7.41,8.82,10.69,8.24,11.15,9.51,11.38,9.69,8.17,7.21,10.15,11,11.53,10.78,10.14,9.67,9.8,10.84,,0,0.35,2026,5,4
125,05-05-2026,9.5,7.41,8.82,10.64,8.03,11.21,9.51,7.43,9.69,8.22,7.21,10.12,10.98,11.55,10.77,10.14,9.67,9.8,10.84,,0,0.31,2026,5,5
126,06-05-2026,9.5,7.41,8.81,10.57,8.04,11.28,9.51,6.75,9.69,8.22,7.21,10.1,10.96,11.59,10.76,10.13,9.69,9.8,10.84,,0,0.4,2026,5,6
127,07-05-2026,9.5,7.41,8.81,10.61,7.88,11.43,9.51,10.45,9.69,8.23,7.21,10.11,10.95,11.63,10.76,10.14,9.68,9.8,10.83,,0,0.47,2026,5,7
128,08-05-2026,9.5,7.41,8.81,10.63,7.62,11.7,9.51,10.38,9.69,8.23,7.21,10.14,10.93,11.65,10.75,10.09,9.68,9.8,10.84,,0,0.33,2026,5,8
129,09-05-2026,9.5,7.41,8.83,10.66,7.58,11.34,9.51,12.97,9.69,8.24,7.21,10.13,10.93,11.65,10.75,9.79,9.68,9.8,10.82,,0,0.37,2026,5,9
130,10-05-2026,9.5,7.42,8.83,10.63,8.09,10.89,9.51,12.78,9.69,8.24,7.21,10.13,10.93,11.66,10.75,10.13,9.69,9.8,10.8,,0,0.39,2026,5,10
131,11-05-2026,9.5,7.42,8.83,10.64,8.19,10.71,9.51,12.68,9.69,8.23,7.21,10.13,10.93,11.68,10.75,10.13,9.69,9.8,10.73,,0,0.41,2026,5,11
132,12-05-2026,9.5,7.42,8.83,10.66,8,10.85,9.51,10.14,9.69,8.25,7.21,10.11,10.93,11.67,10.75,10.13,9.68,9.8,10.79,,0,0.45,2026,5,12
133,13-05-2026,9.5,7.42,8.83,10.67,7.82,11,9.51,7.62,9.69,8.25,7.21,10.09,10.92,11.67,10.75,10.13,9.68,9.8,10.78,,0,0.24,2026,5,13
134,14-05-2026,9.5,7.43,8.82,10.73,7.94,11,9.51,12.44,9.69,8.25,7.21,10.1,10.92,11.67,10.75,10.11,9.68,9.8,10.76,,0,0.32,2026,5,14
135,15-05-2026,9.5,7.42,8.81,10.71,7.82,11.09,9.51,12.14,9.69,8.26,7.21,10.09,10.92,11.67,10.74,9.83,9.68,9.8,10.76,,0,0.2,2026,5,15
